Care Setting,Care Activities,Care Activity Bundle,Aspect of Practice,Environmental Services Worker (Housekeeper),Health Care Assistant,Unit Clerk,Indigenous Liaison,Physiotherapist,Occupational Therapist,Respiratory Therapist,Social Worker,Combined Laboratory/X-Ray Technologist,Diagnostic Medical Sonographer,Computed Tomography Technologist,Mammography Technologist,Nuclear Medicine Technologist,Radiological Technologist,Medical Laboratory Assistant,Medical Laboratory Technologist,Advanced Care Paramedic,Community Care Paramedic,Critical Care Paramedic,Primary Care Paramedic,Clinical Pharmacist,Pharmacy Assistant,Pharmacy Technician,Rehabilitation Assistant,Licensed Practical Nurse,Registered Nurse,Registered Psychiatric Nurse
Emergency Department,Assesses patients receiving procedural sedation,Cardiovascular,Aspect of Practice,N,N,N,N,LC,N,Y,N,N,N,N,N,N,N,N,N,Y,LC,Y,N,N,N,N,N,LC,Y,Y
Emergency Department,Administer medications for cardiac dysrhythmia,Cardiovascular,Restricted Activity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,LC,Y,N,N,N,N,N,N,Y,LC
Emergency Department,"Assess patient with complaint involving eye, ear, nose or throat","Ears, Eyes, Nose, and Throat",Aspect of Practice,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,N,LC,Y
Emergency Department,Perform a Snellen Test (visual acuity),"Ears, Eyes, Nose, and Throat",Task,N,N,N,N,LC,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,LC,N,N,N,Y,Y,LC
Emergency Department,Administer analgesic eye drops,"Ears, Eyes, Nose, and Throat",Restricted Activity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,LC,LC,Y,LC,Y,N,N,N,LC,LC,LC
Emergency Department,Identify time-sensitive critical occular emergency,"Ears, Eyes, Nose, and Throat",Aspect of Practice,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,LC,LC,LC,LC,N,N,N,N,LC,LC,LC
Emergency Department,Diagnose occular emergency,"Ears, Eyes, Nose, and Throat",Restricted Activity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,LC,N,N,N,N,N,N,N,N
Emergency Department,Perform a slit lamp exam,"Ears, Eyes, Nose, and Throat",Task,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Emergency Department,Perform fundoscopy,"Ears, Eyes, Nose, and Throat",Task,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Emergency Department,Measure occular pressure using a tonopen (or other device),"Ears, Eyes, Nose, and Throat",Task,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Emergency Department,Contact opthalmologist and provide history and physical to refer emergently,"Ears, Eyes, Nose, and Throat",Aspect of Practice,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,LC,N
Emergency Department,Administer medications for eye condition,"Ears, Eyes, Nose, and Throat",Restricted Activity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,LC,LC,Y,LC,Y,N,N,N,LC,Y,Y
Emergency Department,Prescribe ongoing medication for occular condition,"Ears, Eyes, Nose, and Throat",Restricted Activity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,LC,LC,Y,LC,LC,N,N,N,N,N,N
Emergency Department,Apply immobilizing eye patch for comfort,"Ears, Eyes, Nose, and Throat",Task,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,LC,Y,Y,Y
Emergency Department,Apply eye shield for protection,"Ears, Eyes, Nose, and Throat",Task,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,LC,Y,Y,Y
Emergency Department,Remove foreign body from eye,"Ears, Eyes, Nose, and Throat",Restricted Activity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N
Emergency Department,Apply irrigation to eye for chemical splash,"Ears, Eyes, Nose, and Throat",Restricted Activity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,LC,LC,LC
Emergency Department,Test PH of eye for chemical burns,"Ears, Eyes, Nose, and Throat",Restricted Activity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,LC,N
Emergency Department,Diagnose otic emergency,"Ears, Eyes, Nose, and Throat",Restricted Activity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Emergency Department,Perform an external ear exam,"Ears, Eyes, Nose, and Throat",Restricted Activity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N
Emergency Department,Perform an otoscopic exam,"Ears, Eyes, Nose, and Throat",Restricted Activity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Emergency Department,Measure audio acuity (unilateral/bilateral/complete/partial),"Ears, Eyes, Nose, and Throat",Task,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Emergency Department,Perform specialized otic exam including Rinne and Weber test and tests for vertigo,"Ears, Eyes, Nose, and Throat",Aspect of Practice,N,N,N,N,LC,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Emergency Department,Irrigate ear to remove cerumen or foreign body,"Ears, Eyes, Nose, and Throat",Restricted Activity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,LC,LC,LC
Emergency Department,Prescribe procedural sedation,"Ears, Eyes, Nose, and Throat",Restricted Activity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Emergency Department,Remove deep foreign body in the ear unable to flush out,"Ears, Eyes, Nose, and Throat",Restricted Activity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
